
Name                                                         AppID                                                                                                                                 
Diagn?stico de memoria de Windows                            {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\MdSched.exe                                                                                    
Configuraci?n del sistema                                    {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msconfig.exe                                                                                   
Informaci?n del sistema                                      {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msinfo32.exe                                                                                   
Paint                                                        {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\mspaint.exe                                                                                    
Narrador                                                     {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\narrator.exe                                                                                   
Bloc de notas                                                {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\notepad.exe                                                                                    
Or?genes de datos ODBC (64 bits)                             {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\odbcad32.exe                                                                                   
Teclado en pantalla                                          {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\osk.exe                                                                                        
Administraci?n de impresi?n                                  {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\printmanagement.msc                                                                            
Grabaci?n de acciones de usuario                             {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\psr.exe                                                                                        
Asistencia r?pida                                            {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\quickassist.exe                                                                                
Unidad de recuperaci?n                                       {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\RecoveryDrive.exe                                                                              
Servicios                                                    {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\services.msc                                                                                   
Herramienta Recortes                                         {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\SnippingTool.exe                                                                               
Windows Defender Firewall con seguridad avanzada             {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WF.msc                                                                                         
Fax y Esc?ner de Windows                                     {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WFS.exe                                                                                        
Windows PowerShell                                           {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\powershell.exe                                                          
Windows PowerShell ISE                                       {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\PowerShell_ISE.exe                                                      
Android Studio                                               {6D809377-6AF0-444B-8957-A3773F02200E}\Android\Android Studio\bin\studio64.exe                                                        
Math Input Panel                                             {6D809377-6AF0-444B-8957-A3773F02200E}\Common Files\Microsoft Shared\Ink\mip.exe                                                      
Cylance PROTECT                                              {6D809377-6AF0-444B-8957-A3773F02200E}\Cylance\Desktop\CylanceUI.exe                                                                  
Git GUI                                                      {6D809377-6AF0-444B-8957-A3773F02200E}\Git\cmd\git-gui.exe                                                                            
Git Release Notes                                            {6D809377-6AF0-444B-8957-A3773F02200E}\Git\ReleaseNotes.html                                                                          
Configure Java                                               {6D809377-6AF0-444B-8957-A3773F02200E}\Java\jre1.8.0_351\bin\javacpl.exe                                                              
Excel 2016                                                   {6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft Office\Office16\EXCEL.EXE                                                            
OneDrive para la Empresa                                     {6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft Office\Office16\GROOVE.EXE                                                           
Registro de telemetr?a para Office 2016                      {6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft Office\Office16\msoev.exe                                                            
Panel de telemetr?a para Office 2016                         {6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft Office\Office16\msotd.exe                                                            
Publisher 2016                                               {6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft Office\Office16\MSPUB.EXE                                                            
OneNote 2016                                                 {6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft Office\Office16\ONENOTE.EXE                                                          
PowerPoint 2016                                              {6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft Office\Office16\POWERPNT.EXE                                                         
Word 2016                                                    {6D809377-6AF0-444B-8957-A3773F02200E}\Microsoft Office\Office16\WINWORD.EXE                                                          
Node.js                                                      {6D809377-6AF0-444B-8957-A3773F02200E}\nodejs\node.exe                                                                                
Notepad++                                                    {6D809377-6AF0-444B-8957-A3773F02200E}\Notepad++\notepad++.exe                                                                        
Win64 OpenSSL Command Prompt                                 {6D809377-6AF0-444B-8957-A3773F02200E}\OpenSSL-Win64\start.bat                                                                        
Uninstall OpenSSL                                            {6D809377-6AF0-444B-8957-A3773F02200E}\OpenSSL-Win64\unins000.exe                                                                     
OutSystems Service Studio 11                                 {6D809377-6AF0-444B-8957-A3773F02200E}\OutSystems\Service Studio 11\Service Studio\ServiceStudio.exe                                  
WordPad                                                      {6D809377-6AF0-444B-8957-A3773F02200E}\Windows NT\Accessories\wordpad.exe                                                             
Que hay de nuevo en la ?ltima versi?n                        {6D809377-6AF0-444B-8957-A3773F02200E}\WinRAR\Novedades.txt                                                                           
Manual RAR para consola                                      {6D809377-6AF0-444B-8957-A3773F02200E}\WinRAR\Rar.txt                                                                                 
Ayuda WinRAR                                                 {6D809377-6AF0-444B-8957-A3773F02200E}\WinRAR\winrar.chm                                                                              
WinRAR                                                       {6D809377-6AF0-444B-8957-A3773F02200E}\WinRAR\WinRAR.exe                                                                              
Database Engine Tuning Advisor 18                            {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft SQL Server Management Studio 18\Common7\DTASHELL.EXE                                 
Analysis Services Deployment Wizard 18                       {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft SQL Server Management Studio 18\Common7\IDE\Microsoft.AnalysisServices.Deployment.exe
Microsoft SQL Server Management Studio 18                    {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft SQL Server Management Studio 18\Common7\IDE\Ssms.exe                                 
SQL Server Profiler 18                                       {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft SQL Server Management Studio 18\Common7\PROFILER.EXE                                 
What's New in PowerDesigner 16.1                             {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Sybase\PowerDesigner 16\Documentation\Printable Docs\new_features.pdf                          
PowerDesigner                                                {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Sybase\PowerDesigner 16\pdshell16.exe                                                          
ODBC Data Sources (32-bit)                                   {D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\odbcad32.exe                                                                                   
Windows PowerShell (x86)                                     {D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\WindowsPowerShell\v1.0\powershell.exe                                                          
Windows PowerShell ISE (x86)                                 {D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\WindowsPowerShell\v1.0\PowerShell_ISE.exe                                                      
Editor del Registro                                          {F38BF404-1D43-42F2-9305-67DE0B28FC23}\regedit.exe                                                                                    
Configuraci?n                                                windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel                                                   
C?mara                                                       Microsoft.WindowsCamera_8wekyb3d8bbwe!App                                                                                             
Calculadora                                                  Microsoft.WindowsCalculator_8wekyb3d8bbwe!App                                                                                         
Grabadora de voz                                             Microsoft.WindowsSoundRecorder_8wekyb3d8bbwe!App                                                                                      
Recorte y anotaci?n                                          Microsoft.ScreenSketch_8wekyb3d8bbwe!App                                                                                              
Portal de realidad mixta                                     Microsoft.MixedReality.Portal_8wekyb3d8bbwe!App                                                                                       
Microsoft Edge                                               Microsoft.MicrosoftEdge_8wekyb3d8bbwe!MicrosoftEdge                                                                                   
Visor 3D                                                     Microsoft.Microsoft3DViewer_8wekyb3d8bbwe!Microsoft.Microsoft3DViewer                                                                 
Paint 3D                                                     Microsoft.MSPaint_8wekyb3d8bbwe!Microsoft.MSPaint                                                                                     
Centro de opiniones                                          Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe!App                                                                                        
Groove M?sica                                                Microsoft.ZuneMusic_8wekyb3d8bbwe!Microsoft.ZuneMusic                                                                                 
Correo                                                       microsoft.windowscommunicationsapps_8wekyb3d8bbwe!microsoft.windowslive.mail                                                          
Calendario                                                   microsoft.windowscommunicationsapps_8wekyb3d8bbwe!microsoft.windowslive.calendar                                                      
Cortana                                                      Microsoft.549981C3F5F10_8wekyb3d8bbwe!App                                                                                             
Xbox Console Companion                                       Microsoft.XboxApp_8wekyb3d8bbwe!Microsoft.XboxApp                                                                                     
Seguridad de Windows                                         Microsoft.Windows.SecHealthUI_cw5n1h2txyewy!SecHealthUI                                                                               
Fotos                                                        Microsoft.Windows.Photos_8wekyb3d8bbwe!App                                                                                            
Editor de v?deo                                              Microsoft.Windows.Photos_8wekyb3d8bbwe!SecondaryEntry                                                                                 
Solitaire Collection                                         Microsoft.MicrosoftSolitaireCollection_8wekyb3d8bbwe!App                                                                              
Mapas                                                        Microsoft.WindowsMaps_8wekyb3d8bbwe!App                                                                                               
OneNote for Windows 10                                       Microsoft.Office.OneNote_8wekyb3d8bbwe!microsoft.onenoteim                                                                            
Recomendaciones                                              Microsoft.Getstarted_8wekyb3d8bbwe!App                                                                                                
Notas r?pidas                                                Microsoft.MicrosoftStickyNotes_8wekyb3d8bbwe!App                                                                                      
Office                                                       Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe!Microsoft.MicrosoftOfficeHub                                                               
Obtener ayuda                                                Microsoft.GetHelp_8wekyb3d8bbwe!App                                                                                                   
Pel?culas y TV                                               Microsoft.ZuneVideo_8wekyb3d8bbwe!Microsoft.ZuneVideo                                                                                 
Reloj                                                        Microsoft.WindowsAlarms_8wekyb3d8bbwe!App                                                                                             
El Tiempo                                                    Microsoft.BingWeather_8wekyb3d8bbwe!App                                                                                               
Enlace M?vil                                                 Microsoft.YourPhone_8wekyb3d8bbwe!App                                                                                                 
Xbox Game Bar                                                Microsoft.XboxGamingOverlay_8wekyb3d8bbwe!App                                                                                         
Microsoft Store                                              Microsoft.WindowsStore_8wekyb3d8bbwe!App                                                                                              
Skype                                                        Microsoft.SkypeApp_kzf8qxf38zg5c!App                                                                                                  


